text
"Em tempos de ameaça aos direitos sociais e ambientais, compartilho uma notícia que nos enche de orgulho. Nossa depu… https://t.co/RJWSTqBMg1"
Isso acontece quando pretendentes aos mais altos cargos da República dão o comando para suplantar direitos e ganhos… https://t.co/kqpNqZQ9LH
As recentes declarações de afronta às autoridades e instituições da República devem ser repudiadas com veemência. O… https://t.co/CfRV0D5juY
Não podemos desembarcar do mundo em pleno século 21. É essencial ao país manter-se no Acordo de Paris. Artigo assin… https://t.co/pkgL1lzYn8
O toma-lá-dá-cá sobre a sucessão da Mesa Diretora da Câmara já está a todo vapor. A sociedade está pagando o alto p… https://t.co/JybHJ8PEGi
"Diante do pior risco iminente, darei um voto crítico e farei oposição democrática ao professor @Haddad_Fernando. Le… https://t.co/EWhpDBthuC"
"Fui convidada para explicar porque o @mmeioambiente é importante para o país. Segue o artigo, em primeira mão. Como… https://t.co/RKffeY2Eq8"
Espero que a sensatez volte ao palco político e que o Brasil continue tendo voz e ações relevantes no debate dos te… https://t.co/p7L9TP14U2
Nós sabemos o que é maior do que uma disputa eleitoral. O Brasil não pode abrir mão da importância estratégica em m… https://t.co/S69Ypi8FD9
"Vamos resistir ao inaceitável retrocesso que prega a saída do Acordo de Paris, os ataques contra o IBAMA e o ICMBio… https://t.co/ZfXBvvFh9f"
"Vamos resistir ao inaceitável retrocesso que prega o rolo compressor em cima dos índios, quilombolas e povos tradic… https://t.co/id2Q2X82DW"
"Hoje participei do Ato para denunciar os retrocessos das propostas da candidatura de Jair Bolsonaro, com servidores… https://t.co/4Szh782U81"
E eu disse a ela: Eu acredito que sua vida foi salva para você levar ao mundo a mensagem do perdão. O perdão que li… https://t.co/YvSoLjBCd2
"Ela me disse: ""Dou graças a Deus que ele tinha um plano pra minha vida. Eu só disse pra ele, me salva, eu estou aqu… https://t.co/qghtQEhFON"
"Durante a campanha tive a alegria de me encontrar com Kim Phuc Phan Thi, a menina da foto que foi vítima de queimad… https://t.co/7v4z8jhbls"
"Com a história inspiradora de Francielly, parabenizo meus colegas de profissão, professores e educadores, que apesa… https://t.co/l2d3J9n3Ns"
Apoiadores do Bolsonaro manipularam um vídeo da nossa campanha como se fosse de autoria deles e continuam usando a… https://t.co/Po3bQAGGLg
"Obrigada 1.069.538 de vezes. Agradeço a Deus, em primeiro lugar e sempre, pela vida, pela saúde e por ter me susten… https://t.co/IkipFrqV3D"
"Celebramos a eleição de @randolfeap (AP), Fabiano Contarato (ES), @ArnsFlavio(PR), @CapStyvenson (RN) e Alessandro… https://t.co/DSreWR5Y0B"
"Celebramos a eleição histórica de Joênia Wapichana (@REDE_18), a 1ª mulher indígena deputada federal do Brasil. Ela… https://t.co/Zz99JvgmgT"
"Independentemente de quem seja o vencedor, nós estaremos na oposição. O Brasil vai precisar de uma oposição democrá… https://t.co/gyC2Pf1pTd"
"Agradeço à minha família, aos amigos, militantes, eleitores e todos que me deram sustentação. Quero agradecer ao me… https://t.co/5gqN0eaIVu"
"Como democrata, eu respeito o resultado das urnas e cumprimento os dois candidatos que foram ao 2º turno.  Fizemos… https://t.co/8ZoLpFfkNt"
"O Brasil clama para que a gente pare com essa polarização que nos trouxe para o fundo do poço. Neste domingo, eu pe… https://t.co/dbtNLktHbL"
"Com as minhas amadas irmãs Maria Jesus, Zeti e Lucia, em Rio Branco-AC. #Vote18 https://t.co/g96qRAlngR"
Meu número ser o 18 em 2018 é um alinhamento perfeito. Em 2018 #Vote18 https://t.co/ppEJ7gDAcx
"A cantora @sarahrenatasr, que participou do The Voice, compôs uma linda canção para Marina. Valeu &lt;3 #Vote18… https://t.co/lSYyoyJvSo"
"Tá em dúvida em quem votar para governador, deputado e senador? Vote nos candidatos da REDE -… https://t.co/CV9T6YMxkX"
"É a primeira vez que vivo a experiência de chegar no Acre na eleição e não encontrar meu pai, mas o caráter que ele… https://t.co/v5WVFuMkA0"
Uma professora e um médico na Presidência? #VoteMarina18 https://t.co/tLPJVGTyWp
Uma Presidente capaz de unir os brasileiros e pacificar o país? #VoteMarina18 https://t.co/aTTMbMCe1S
Meu compromisso é transformar o Nordeste brasileiro em uma grande potência de energia solar. Vote 18 - Marina Silva… https://t.co/M6nwRc5wLy
"Política feita com amor, afeto e respeito pelo sentimento das pessoas? #VoteMarina18 https://t.co/ClK5wTLWxN"
Marina Silva é professora e sabe que os estímulos nos primeiros anos de vida são fundamentais para que uma criança… https://t.co/Kq4GFS2E7F
O sonho continua vivo. A Marina tá mais forte e guerreira. Vote 18 - Marina Silva Presidente. #Vote18 #VoteMarina18 https://t.co/fZitPpMDNk
"No primeiro turno, não vote por medo ou ódio, vote por convicção. Vote 18 - Marina Silva Presidente. #Vote18… https://t.co/Kec2rh7K1Y"
Vamos fazer um plano nacional de combate a desigualdade racial no Brasil. Vote 18 - Marina Silva Presidente.… https://t.co/KzrQUiWNPB
Criança será prioridade absoluta no governo Marina. Vote 18 - Marina Silva Presidente. #Vote18 #VoteMarina18 https://t.co/vGwBiu0NMt
"Repara na palma da mão, tem um M de Marina... #Vote18 https://t.co/D5jyVNYIEq"
"""Marina é a candidata mais preparada. Foi senadora, ministra."" O cineasta Zelito Viana tá com Marina. Vote 18 - Mar… https://t.co/Vxl4qYggvr"
"Plano Vida Digna. Vamos ampliar em 2,5 milhões de vagas as ofertas em creches e reorganizar o Sistema Único de Saúd… https://t.co/9hsiDT9l2W"
"O cantor e compositor @omarcosalmeida vota Marina Presidente. ""Não são os extremos, mas a simetria. A senhora repre… https://t.co/dAdsGXyor6"
"Do jeito que está não dá mais. Pra uma vida melhor, só unindo o https://t.co/qFdnHPhygP 18 - Marina Silva President… https://t.co/BDbnOfH6DM"
"""Ela entende a necessidade do povo. As palavras dela comovem. Pra mim, ela já ganhou""- Dona Erenice na caminhada em… https://t.co/SC0IJX6MTZ"
"Meu objetivo de vida é que o Brasil seja um lugar melhor pra se viver.
Vote 18 - Marina Silva Presidente. #Vote18… https://t.co/fo9IThjyrH"
Esse é um momento muito perigoso da história do nosso país. Vote 18 Marina Silva Presidente. #Vote18 #VoteMarina18 https://t.co/7ehvx136Du
"Ter na presidência, alguém para se orgulhar. Vote 18 - Marina Silva Presidente. #Vote18 #VoteMarina18 https://t.co/bEnjnzdgti"
"O Futuro, Marina Presidente. Vamos pacificar e unir o Brasil. #Vote18 #VoteMarina18 https://t.co/FUBwFsNJ6c"
"Eu quero fazer um apelo às pessoas que já votaram em mim em 2010 e 2014. Voltem ao primeiro amor!

#Vote18… https://t.co/p3Ny7DE8zw"
