cultura,economia,educacao,meio ambiente,saude,seguranca,tecnologia
0.08256657285126652,0.3060727430179693,0.10412338734810647,0.040268456375838924,0.14099216710182766,0.0977736722537909,0.0642303868062272
0.8281880900520433,0.3391877942823796,0.09381320384184241,0.13195599000740105,0.1162374580009711,0.10174536570060506,0.13885095252447954
0.14144513403244768,0.42239487409840815,0.41185899892183053,0.34462009580967085,0.19281484462243764,0.2759037638230789,0.16417141135130917
1.2717873950382166,2.1675987517252566,2.2117657830237665,0.9286928051377458,2.131775428901543,1.9029008648615804,1.146767018267976
0.5645576106738088,1.5454574970211636,0.9366638829531393,0.47245570778592033,0.7349704832572577,0.9413511693900235,0.645719224974767
0.05412010413467868,0.31433759531229577,0.4733538940696026,0.06095752570579674,0.39107661892202844,0.344961699931966,0.17258367437169186
1.982849192842362,3.4726148344107735,2.8652974203152457,1.674295157235849,2.4271823515244466,2.861927618260993,2.180543641303101
0.45824047081241986,1.0927728317000034,0.6861797585115177,0.26219779638115,0.3974489044845345,0.4069730009968301,0.44142834816843457
0.15524645696335276,0.39837568404843615,0.18703991402851183,0.10152829366581528,0.22138536660080332,0.1520199693383869,0.2514311242170011
0.10939159429558928,0.3356627199883582,0.41167418467413586,0.2757992678462477,0.9759200363471149,0.45205713395422686,0.16321468717749796
